ID,Experience,Income,Age,Family,CCAvg,Education,Mortgage,CreditCard,Securities Account,CD Account,ZIP Code,Online,Personal Loan
1,1,49,25,4,1.6,1,0,0,1,0,91107,FALSE,0
2,19,34,45,3,1.5,1,0,0,1,0,90089,FALSE,0
3,15,11,39,1,1,1,0,0,0,0,94720,FALSE,nan
4,9,100,35,1,2.7,2,0,0,0,0,94112,FALSE,nan
5,8,45,35,4,1,2,0,1,0,0,91330,FALSE,nan
6,13,29,37,4,0.4,2,155,0,0,0,92121,TRUE,nan
7,27,72,53,2,1.5,2,0,0,0,0,91711,TRUE,nan
8,24,22,50,1,0.3,3,0,1,0,0,93943,FALSE,nan
9,10,81,35,3,0.6,2,104,0,0,0,90089,TRUE,nan
10,9,180,34,1,8.9,3,0,0,0,0,93023,FALSE,nan
11,39,105,65,4,2.4,3,0,0,0,0,94710,FALSE,0
12,5,45,29,3,0.1,2,0,0,0,0,90277,TRUE,0
13,23,114,48,2,3.8,3,0,0,1,0,93106,FALSE,0
14,32,40,59,4,2.5,2,0,0,0,0,94920,TRUE,0
15,41,112,67,1,2,1,0,0,1,0,91741,FALSE,0
16,30,22,60,1,1.5,3,0,1,0,0,95054,TRUE,0
17,14,130,38,4,4.7,3,134,0,0,0,95010,FALSE,1
18,18,81,42,4,2.4,1,0,0,0,0,94305,FALSE,0
19,21,193,46,2,8.1,3,0,0,0,0,91604,FALSE,1
20,28,21,55,1,0.5,2,0,1,1,0,94720,FALSE,0
21,31,25,56,4,0.9,2,111,0,0,0,94015,TRUE,0
22,27,63,57,3,2,3,0,0,0,0,90095,TRUE,0
23,5,62,29,1,1.2,1,260,0,0,0,90277,TRUE,0
24,18,43,44,2,0.7,1,163,0,1,0,91320,FALSE,0
25,11,152,36,2,3.9,1,159,1,0,0,95521,FALSE,0
26,19,29,43,3,0.5,1,97,0,0,0,94305,TRUE,0
27,16,83,40,4,0.2,3,0,0,0,0,95064,FALSE,0
28,20,158,46,1,2.4,1,0,1,0,0,90064,TRUE,0
29,30,48,56,1,2.2,3,0,1,0,0,94539,TRUE,0
30,13,119,38,1,3.3,2,0,1,0,1,94104,TRUE,1
31,35,35,59,1,1.2,3,122,0,0,0,93106,TRUE,0
32,16,29,40,1,2,2,0,0,0,0,94117,TRUE,0
33,28,41,53,2,0.6,3,193,0,0,0,94801,FALSE,0
34,6,18,30,3,0.9,3,0,0,0,0,91330,FALSE,0
35,5,50,31,4,1.8,3,0,0,0,0,94035,TRUE,0
36,24,81,48,3,0.7,1,0,0,0,0,92647,FALSE,0
37,35,121,59,1,2.9,1,0,1,0,0,94720,FALSE,0
38,25,71,51,1,1.4,3,198,0,0,0,95814,FALSE,0
39,18,141,42,3,5,3,0,0,1,1,94114,TRUE,1
40,13,80,38,4,0.7,3,285,0,0,0,94115,TRUE,0
41,32,84,57,3,1.6,3,0,0,1,0,92672,FALSE,0
42,9,60,34,3,2.3,1,0,0,0,0,94122,FALSE,0
43,7,132,32,4,1.1,2,412,0,0,0,90019,TRUE,1
44,15,45,39,1,0.7,1,0,0,0,0,95616,TRUE,0
45,20,104,46,1,5.7,1,0,1,0,0,94065,TRUE,0
46,31,52,57,4,2.5,1,0,1,0,0,94720,FALSE,0
47,14,43,39,3,0.7,2,153,0,0,0,95014,TRUE,0
48,12,194,37,4,0.2,3,211,1,1,1,91380,TRUE,1
49,26,81,56,2,4.5,3,0,1,0,0,95747,FALSE,0
50,16,49,40,1,1.8,1,0,1,0,0,92373,FALSE,0
51,8,8,32,4,0.7,2,0,0,1,0,92093,TRUE,0
52,37,131,61,1,2.9,1,0,0,0,0,94720,TRUE,0
53,6,72,30,1,0.1,1,207,0,0,0,94005,FALSE,0
54,26,190,50,3,2.1,3,240,0,0,0,90245,TRUE,1
55,5,44,29,1,0.2,3,0,0,0,0,95819,TRUE,0
56,17,139,41,2,8,1,0,0,0,0,94022,TRUE,0
57,30,29,55,3,0.1,2,0,0,1,1,94005,TRUE,0
58,31,131,56,2,1.2,3,0,0,0,0,95616,FALSE,1
59,2,93,28,2,0.2,1,0,0,0,0,94065,FALSE,0
60,5,188,31,2,4.5,1,455,0,0,0,91320,FALSE,0
61,24,39,49,3,1.7,2,0,0,1,0,90404,TRUE,0
62,21,125,47,1,5.7,1,112,0,1,0,93407,FALSE,0
63,18,22,42,1,1,1,0,0,0,0,90089,FALSE,0
64,17,32,42,4,0,2,0,0,0,0,94523,TRUE,0
65,23,105,47,2,3.3,1,0,0,0,0,90024,FALSE,0
66,35,131,59,1,3.8,1,0,1,0,0,91360,TRUE,0
67,36,105,62,2,2.8,1,336,0,0,0,95670,FALSE,0
68,23,45,53,4,2,3,132,0,1,0,95123,FALSE,0
69,21,60,47,3,2.1,1,0,1,0,0,93407,TRUE,0
70,29,20,53,4,0.2,1,0,0,0,0,90045,TRUE,0
71,18,115,42,1,3.5,1,0,1,0,0,91335,FALSE,0
72,29,69,53,4,1,2,0,0,0,0,93907,TRUE,0
73,20,130,44,1,5,1,0,1,0,0,92007,FALSE,0
